name,text,tags
High Renaissance,"masterful Italian High Renaissance oil painting, anatomical precision, classical contrapposto, atmospheric perspective, sfumato softening, balanced symmetric composition, jewel-toned drapery, Leonardo da Vinci sensibility",style
Northern Renaissance,"Northern Renaissance oil-tempera technique, microscopic detail, jewel-like glazes, crisp linear underdrawing, symbolic objects on every surface, Van Eyck precision, cool Flemish light",style
Mannerism,"Mannerist painting, elongated figures and twisted poses, jewel-tone artificial palette, compressed crowded composition, theatrical drama, El Greco verticality",style
Baroque Chiaroscuro,"Caravaggio-style Baroque chiaroscuro, deep velvet shadows, single dramatic spotlight, theatrical lighting from one direction, oil painting on canvas, intense psychological moment, tenebrist contrast",style
Dutch Golden Age,"Dutch Golden Age oil painting, Vermeer-style window light, calm domestic interior, layered glazes, blue-yellow palette, quiet moment, pearl-soft skin highlights",style
Rembrandt Portraiture,"Rembrandt portrait style, warm umber palette, single window-light source, thick impasto highlights, deep velvet shadow eaten into the canvas, weathered psychological gaze",style
Rococo,"Rococo oil painting, Fragonard playfulness, pastel pink and powder-blue palette, ornate gold-leaf frame implied, swirling silk drapery, frivolous decorative composition, gallant scene",style
Neoclassical,"Neoclassical painting, Jacques-Louis David austerity, frieze-like horizontal composition, clean classical drapery, restrained palette, Greco-Roman architectural setting, moral seriousness",style
Romanticism,"Romantic landscape painting, Caspar David Friedrich sublime, lone figure dwarfed by vast nature, misty atmospheric depth, twilight palette, awe and isolation",style
Pre-Raphaelite,"Pre-Raphaelite Brotherhood style, Rossetti jewel tones, medieval revival subject, every flower botanically detailed, copper-red hair, embroidered textiles, devotional intensity",style
Realism,"19th-century French Realism, Courbet earth palette, working-class subject treated with gravitas, ordinary scene rendered without idealization, palpable physical weight, muddy brown undertones",style
Impressionism,"Impressionist oil painting, Monet broken color, dappled outdoor light, visible plein-air brushstrokes, atmospheric haze, dissolving form into light, garden palette",style
Post-Impressionism,"Post-Impressionist oil painting, Van Gogh thick rope-like impasto, swirling sky strokes, vibrating complementary colors, agitated emotional brushwork, cypress-and-stars palette",style
Pointillism,"Pointillist painting, Seurat scientific dot technique, optical color mixing across thousands of pure-pigment dots, parc setting, structured calm composition",style
Symbolism,"Symbolist painting, Klimt gold leaf and pattern, decorative borders surrounding the figure, mystic decadent palette, Vienna Secession sensibility, ornamental abstraction within figuration",style
Art Nouveau,"Art Nouveau illustration, Mucha curving organic linework, ornamental floral border, slender elongated figure, muted pastel palette, decorative whiplash arabesques",style
Fauvism,"Fauvist painting, Matisse wild non-naturalistic color, flat planes of intense saturated pigment, simplified contours, joyful arbitrary palette, brushy energy",style
German Expressionism,"German Expressionist painting, Die Brücke woodcut harshness, anxious distorted figures, jagged angular forms, acidic clashing palette, urban unease",style
Cubism Analytical,"Analytical Cubism, Braque-Picasso early, monochromatic ochre-grey palette, fractured faceted planes, simultaneous multiple viewpoints, shallow shifting space",style
Cubism Synthetic,"Synthetic Cubism, collaged paper textures and patterned wallpaper fragments, bolder color, simplified flat shapes, stencil typography fragments, decorative modernist",style
Futurism,"Futurist painting, Boccioni motion lines, fragmented depiction of speed and machinery, dynamic diagonals, mechanized dynamism, copper-red and steel palette",style
Dada,"Dadaist photomontage, Hannah Höch absurdist clipping, anti-aesthetic collage, fragments of newspaper and advertising, ironic juxtaposition, anti-rational",style
Magritte Surrealism,"Magritte-style Surrealism, smooth realistic rendering of impossible scene, Belgian-blue sky with placid clouds, deadpan illogic, philosophical visual paradox, clean illustrational finish",style
Dali Surrealism,"Dalí-style Surrealism, melting biomorphic forms, hyper-detailed academic oil rendering, infinite Spanish-coast landscape, double-image illusions, dreamlike crystalline clarity",style
De Stijl,"De Stijl Mondrian grid, primary red yellow blue rectangles separated by black orthogonal lines on white field, perfect mathematical balance, no curves anywhere",style
Bauhaus,"Bauhaus design composition, Klee or Kandinsky abstraction, clean geometric forms with primary palette accents, modernist teaching aesthetic, clean ruled lines",style
Suprematism,"Suprematist composition, Malevich pure geometric forms floating on neutral field, black square or red rectangle, no representational reference, philosophical purity",style
Constructivism,"Russian Constructivist poster, Rodchenko diagonal compositions, red and black palette with cream paper, photomontage figures, sans-serif Cyrillic typography, propaganda graphic",style
Abstract Expressionism Gestural,"Abstract Expressionist gestural painting, sweeping calligraphic brush marks, raw canvas peeking through, monochrome dominant with accent, Franz Kline boldness",style
Hard-Edge Abstraction,"Hard-edge abstract painting, Frank Stella concentric bands, razor-sharp masking-tape edges, flat acrylic finish, mathematical interval, no painterly texture",style
Op Art,"Op Art composition, Bridget Riley moiré pattern, optical illusion of motion, parallel curving lines causing visual vibration, black and white only or limited palette",style
Minimalism,"Minimalist painting, single rectangular field of color, almost-imperceptible value shifts, gallery-white edge, contemplative emptiness, Agnes Martin sensibility",style
Pop Art Warhol,"Pop Art screen-print, Warhol mechanical reproduction, fluorescent four-color separation, repeated celebrity icon grid, halftone dot texture, commercial flatness",style
Pop Art Lichtenstein,"Lichtenstein comic-book painting, magnified Ben-Day dot pattern, primary palette with black ink contour, melodrama-comic panel composition, thought bubble or onomatopoeia",style
Photorealism,"Photorealist oil painting, Chuck Close grid technique, hyper-detailed fidelity to a photographic source, glossy surface, neutral studio lighting, large-format ambition",style
Neo-Expressionism,"Neo-Expressionist painting, Basquiat raw graffiti energy, scrawled text and crowns, jagged figuration, oil stick on unprimed canvas, urgent mark-making",style
Banksy Stencil,"Banksy-style stencil graffiti, sharp aerosol edges, monochrome silhouette with one accent color, witty political subject, urban brick or concrete background implied",style
Outsider Art Brut,"Art Brut / outsider style, Dubuffet rough surface, untrained energy, scratchy mark-making, mud-and-tar palette, raw psychological intensity, no academic finish",style
Color Field Drift,"abstract color field painting, Rothko-influenced luminous color zones, soft hazy boundaries blending into each other, atmospheric contemplative depth, no hard edges, no figurative elements",style
Action Drip Storm,"abstract expressionism, Pollock-style action painting, layered drip and splatter marks, multiple paint viscosities, chaotic but rhythmic composition, kinetic energy frozen, no representational forms",style
Liquid Iridescence,"abstract fluid art, marbling and liquid swirl patterns, holographic iridescent surface, oil-on-water rainbow shimmer, prismatic chromatic shifts, smooth flowing organic forms",style
Ukiyo-e,"Japanese Ukiyo-e woodblock print, Hokusai Hiroshige aesthetic, flat planes of pigment with subtle gradient bokashi, bold black contour line, kabuki actor or famous landscape, washi paper texture",style
Sumi-e,"Japanese Sumi-e ink painting, single horsehair-brush gesture, deep black ink to translucent grey wash, vast empty paper space, calligraphic economy, Zen restraint",style
Maki-e Lacquer,"Edo-period maki-e gold lacquer, sprinkled gold powder embedded in deep black urushi lacquer, ornate floral or wave motif, jewel-box preciousness",style
Shan Shui Ink Landscape,"Chinese shan shui ink landscape, mist-veiled mountains receding into nothing, tiny scholar figure on a path, calligraphic brush strokes for foliage, vertical scroll composition",style
Gongbi Meticulous,"Chinese gongbi meticulous brushwork, hair-fine outline, layered mineral pigment washes, courtly scene, every thread of silk drapery rendered, jade-green and vermilion palette",style
Tibetan Thangka,"Tibetan thangka religious painting, vivid mineral pigments and gold, mandala symmetry, ornate flame and lotus halos, hierarchical scale, cinnabar-and-lapis palette",style
Persian Miniature,"16th-century Persian miniature, jewel-tone gouache on paper, flat decorative space without single-point perspective, ornate carpet and tile patterning everywhere, slender courtly figures",style
Mughal Miniature,"Mughal Indian miniature painting, court scene with elephants and architecture, precise gouache stippling, gold leaf accents, jewel-tone palette, refined Persian-influenced craft",style
Korean Minhwa,"Korean minhwa folk painting, naive bold figures, traditional motifs of tigers magpies and peonies, paper texture visible, vibrant unmodulated pigment, joyful folk aesthetic",style
Showa-era Anime,"1970s-80s Showa-era anime cel painting, hand-painted cel on photographed background, limited color palette, atmospheric film grain, melancholic earth tones, retro mecha or magical girl sensibility",style
Modern Shoujo Manga,"modern shoujo manga style, soft expressive eyes with multiple highlight catchlights, screentone gradients on clothing, sparkles and floral panels, romantic teen sensibility",style
Modern Shounen Manga,"modern shounen manga style, dynamic speed lines, dramatic angle compositions, bold black inking with hatched shadows, action explosion effects, weekly-magazine energy",style
Seinen Gritty Manga,"seinen manga gritty style, Tsutomu Nihei or Ito-influenced, dense crosshatched ink shadows, claustrophobic crowded panels, mature psychological tone",style
Golden Age Superhero,"Golden Age US superhero comic art, Jack Kirby dynamic anatomy, square-jawed heroics, bold black ink linework with chunky shadows, four-color separation halftone, action-packed splash page",style
Modern Dark Superhero,"modern dark superhero comic art, Mignola-influenced inky silhouettes, flat shadow shapes filling the panel, restrained palette with single accent, gothic atmosphere",style
Ligne Claire,"Ligne claire Franco-Belgian comic style, Hergé Tintin clarity, perfectly even line weight, flat color fill without shading, every object equally rendered, clean diorama composition",style
Heavy Metal Sci-Fi,"Heavy Metal magazine sci-fi comic, Moebius linework, weathered industrial spaceship interiors, sparse environmental color washes, dense linework with cross-hatched shadow zones",style
EC Horror Comic,"EC Comics horror style, lurid four-color print, painted cover gory drama, dense crosshatched ink interior pages, melodramatic terror panel composition",style
Underground Comix,"R. Crumb underground comix style, dense crosshatched ink linework, bulbous figures, satirical countercultural subject, newsprint paper texture",style
Mignola Hellboy,"Mignola Hellboy style, large flat black shadow shapes, simplified geometric figure design, restrained palette with one warm accent, mythic atmospheric mood",style
Calvin and Hobbes,"Bill Watterson Calvin and Hobbes Sunday strip style, watercolor washes, expressive scribble linework, child's-imagination sensibility, snowy-day composition",style
Disney Golden Age,"Disney Golden Age cel animation, Snow White era, hand-inked outlines with airbrushed cheek blush, painted background of layered watercolor depth, fairy-tale palette",style
UPA Modernist,"UPA 1950s flat modernist animation, geometric simplified figures, flat color blocks, minimal linework, mid-century graphic sensibility, jazzy palette",style
Hanna-Barbera Limited,"Hanna-Barbera 1960s limited animation, hard outlines on flat-color characters with watercolor-painted backgrounds, Saturday-morning palette, cycle-friendly poses",style
Looney Tunes,"Looney Tunes classic cartoon style, exaggerated rubbery anatomy, vivid primary palette, ink-and-paint cels on painted backgrounds, slapstick squash-and-stretch",style
Studio Ghibli,"Studio Ghibli watercolor anime, Miyazaki gentle palette, painterly cumulus clouds, soft natural light, environmental detail, lyrical pastoral mood",style
Don Bluth Gothic,"Don Bluth dark fantasy animation, Secret of NIMH gothic atmosphere, painted shadow detail, expressive character rigging, melancholic emerald-amber palette",style
